detector,source_type,condition,threshold,pass_rate,n
word_ai_prob,external_ai_text,iter_round_1,0.5,0.0,3
word_ai_prob,external_ai_text,iter_round_2,0.5,0.0,3
word_ai_prob,external_ai_text,iterative_final,0.5,0.0,3
word_ai_prob,external_ai_text,one_shot,0.5,0.0,3
word_ai_prob,external_ai_text,original_external,0.5,0.3333333333333333,3
word_ai_prob,fresh_model_generation,baseline,0.5,0.3333333333333333,3
word_ai_prob,fresh_model_generation,human_reference,0.5,0.6666666666666666,3
word_ai_prob,fresh_model_generation,iter_round_1,0.5,0.6666666666666666,3
word_ai_prob,fresh_model_generation,iter_round_2,0.5,0.3333333333333333,3
word_ai_prob,fresh_model_generation,iterative_final,0.5,0.3333333333333333,3
word_ai_prob,fresh_model_generation,one_shot,0.5,0.6666666666666666,3
stylometric_ai_prob,external_ai_text,iter_round_1,0.5,0.6666666666666666,3
stylometric_ai_prob,external_ai_text,iter_round_2,0.5,0.0,3
stylometric_ai_prob,external_ai_text,iterative_final,0.5,0.0,3
stylometric_ai_prob,external_ai_text,one_shot,0.5,0.3333333333333333,3
stylometric_ai_prob,external_ai_text,original_external,0.5,0.6666666666666666,3
stylometric_ai_prob,fresh_model_generation,baseline,0.5,0.0,3
stylometric_ai_prob,fresh_model_generation,human_reference,0.5,1.0,3
stylometric_ai_prob,fresh_model_generation,iter_round_1,0.5,0.6666666666666666,3
stylometric_ai_prob,fresh_model_generation,iter_round_2,0.5,0.3333333333333333,3
stylometric_ai_prob,fresh_model_generation,iterative_final,0.5,0.3333333333333333,3
stylometric_ai_prob,fresh_model_generation,one_shot,0.5,0.3333333333333333,3
